"filename", "language", "EditorConfig", "Ignore", "JavaScript", "JSON", "Markdown", "TypeScript", "Less", "XML", "TypeScript React", "HTML", "comment", "blank", "total"
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\NumberInfo\index.less", "Less", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 2, 69
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\NumberInfo\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 63
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\OfflineData.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 5, 97
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\PageLoading\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 2, 11
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\ProportionSales.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 3, 66
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\SalesCard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 6, 142
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\TopSearch.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 4, 160
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Trend\index.less", "Less", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Trend\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 22, 228
